id,en,ru
D_DSP_STRANGER_4,Who?,Кто?
D_DSP_STRANGER_5,I don't remember. But a strange feeling never leaves me.,Не помню. Но меня не покидает странное чувство.
D_DSP_STRANGER_6,What do I have to do with it?,А я тут при чем?
D_DSP_STRANGER_7,"I don't know, but I'm not lying.","Я не знаю, но я не обманываю."
D_DSP_STRANGER_8,"Write me if you remember, okay? I have to run already.","Напишешь мне, если вспомнишь, хорошо? Я уже должен бежать."
D_DSP_ROOF_1,How did you get here at all?,А как вы вообще прошли сюда?
D_DSP_ROOF_2,Is that all you care about?,"И это все, что тебя волнует?"
D_DSP_ROOF_3,What are you talking about?,Вы про что?
D_DSP_ROOF_4,You've given up on the search altogether. Do you need help? I believe there is something wrong here.,"Ты же совсем прекратил поиски. Может тебе нужна помощь? Я верю, что здесь что-то не чисто."
D_DSP_ROOF_5,Search? What are you talking about?,Поиски? Вы о чем?
D_DSP_ROOF_6,Are you kidding? Don't you know about the missing girl?,Шутишь? Ты не знаешь про пропажу девушки?
D_DSP_ROOF_7,What girl?,Какой девушки?
D_DSP_ROOF_8,.. I'm sorry. I didn't want to believe it was possible until the last moment.,"... эх, жаль. Я до последнего не хотел верить, что такое возможно."
D_DSP_ROOF_9,Can you tell me then?,Может быть вы мне подскажите тогда?
D_DSP_ROOF_10,"I'm sorry, I don't even know what to tell you.","Прости, я даже не знаю, что тебе сказать."
D_DSP_ROOF_11,"Okay, I'm sorry I called you.","Ладно, прости, что позвал тебя."
D_DSP_ROOF_12,Thanks!,Спасибо!
D_DSP_NIGHT_1,I forgot.,Я забыл.
D_DSP_NIGHT_2,I forgot everything.,Я всё забыл.
D_DSP_NIGHT_3,But it doesn't happen that way.,Но ведь так не бывает.
D_DSP_NIGHT_4,But it happened.,Но это произошло.
D_DSP_BRIDGE_1,Did you remember too?,Ты тоже вспомнил?
D_DSP_BRIDGE_2,Yes. What are we going to do now?,Да. Что мы теперь будем делать?
D_DSP_BRIDGE_3,I don’t understand anything.,Я ничего не понимаю.
D_DSP_BRIDGE_4,We need to calm down. Can we come to me? It's getting cold here.,Надо успокоиться. Может пойдем ко мне? Тут уже становится холодно.
D_DSP_BRIDGE_5,"O-o-okay, come on.","Л-л-ладно, давай."
D_DSP_BRIDGE_6,W-w-w-what was that?,Ч-ч-ч-что это было?
D_DSP_BRIDGE_7,"I don’t understand anything,",Ничего не понимаю.
D_DSP_BRIDGE_8,Hey wait!,"Эй, подожди!"
D_DSP_BRIDGE_9,Hold on!,Держись!
D_DSP_BRIDGE_10,No no!,"Нет, нет!"
