id,ru,en
D_DSP_STRANGER_2,Ты меня знаешь?,You know me?
D_DSP_STRANGER_3,Я в этом уверена! Мне рассказывали о тебе!,I'm sure! They told me about you!
D_DSP_STRANGER_4,Кто?,Who?
D_DSP_STRANGER_5,Не помню. Но меня не покидает странное чувство.,I don't remember. But a strange feeling never leaves me.
D_DSP_STRANGER_6,А я тут при чем?,What do I have to do with it?
D_DSP_STRANGER_7,"Я не знаю, но я не обманываю.","I don't know, but I'm not lying."
D_DSP_STRANGER_8,"Напишешь мне, если вспомнишь, хорошо? Я уже должен бежать.","Write me if you remember, okay? I have to run already."
D_DSP_ROOF_1,А как вы вообще прошли сюда?,How did you get here at all?
D_DSP_ROOF_2,"И это все, что тебя волнует?",Is that all you care about?
D_DSP_ROOF_3,Вы про что?,What are you talking about?
D_DSP_ROOF_4,"Ты же совсем прекратил поиски. Может тебе нужна помощь? Я верю, что здесь что-то не чисто.",You've given up on the search altogether. Do you need help? I believe there is something wrong here.
D_DSP_ROOF_5,Поиски? Вы о чем?,Search? What are you talking about?
D_DSP_ROOF_6,Шутишь? Ты не знаешь про пропажу девушки?,Are you kidding? Don't you know about the missing girl?
D_DSP_ROOF_7,Какой девушки?,What girl?
D_DSP_ROOF_8,"... эх, жаль. Я до последнего не хотел верить, что такое возможно.",.. I'm sorry. I didn't want to believe it was possible until the last moment.
D_DSP_ROOF_9,Может быть вы мне подскажите тогда?,Can you tell me then?
D_DSP_ROOF_10,"Прости, я даже не знаю, что тебе сказать.","I'm sorry, I don't even know what to tell you."
D_DSP_ROOF_11,"Ладно, прости, что позвал тебя.","Okay, I'm sorry I called you."
D_DSP_ROOF_12,Спасибо!,Thanks!
D_DSP_NIGHT_1,Я забыл.,I forgot.
D_DSP_NIGHT_2,Я всё забыл.,I forgot everything.
D_DSP_NIGHT_3,Но ведь так не бывает.,But it doesn't happen that way.
D_DSP_NIGHT_4,Но это произошло.,But it happened.
D_DSP_BRIDGE_1,Ты тоже вспомнил?,Did you remember too?
D_DSP_BRIDGE_2,Да. Что мы теперь будем делать?,Yes. What are we going to do now?
D_DSP_BRIDGE_3,Я ничего не понимаю.,I don’t understand anything.
D_DSP_BRIDGE_4,Надо успокоиться. Может пойдём ко мне? Тут уже становится холодно.,We need to calm down. Can we come to me? It's getting cold here.
D_DSP_BRIDGE_5,"Л-л-ладно, давай.","O-o-okay, come on."
D_DSP_BRIDGE_6,Ч-ч-ч-что это было?,W-w-w-what was that?
D_DSP_BRIDGE_7,Ничего не понимаю.,"I don’t understand anything,"
D_DSP_BRIDGE_8,"Эй, подожди!",Hey wait!
D_DSP_BRIDGE_9,Держись!,Hold on!
D_DSP_BRIDGE_10,"Нет, нет!",No no!
